ROWID,Country,State LGD Code,State,SourceYear,"State wise Macro Nutrient Status for Cycle I, Cycle II ,Cycle III","Fertilizers used in cycle namely Nitrogen, phosphorous, Potassium, organic carbon",Fertilizers level,Count of Nutrient status involved in three cycles,Samples under each cycle,YearCode,Year
1430,India,3,PUNJAB,2019-20,Cycle 3,Phosphorous (P),VH,3,17,2019,"Financial Year (Apr - Mar), 2019"
1431,India,3,PUNJAB,2019-20,Cycle 3,Phosphorous (P),L,6,17,2019,"Financial Year (Apr - Mar), 2019"
1432,India,3,PUNJAB,2019-20,Cycle 3,Potassium (K),L,6,17,2019,"Financial Year (Apr - Mar), 2019"
1433,India,3,PUNJAB,2019-20,Cycle 3,Phosphorous (P),H,8,17,2019,"Financial Year (Apr - Mar), 2019"
1434,India,3,PUNJAB,2019-20,Cycle 3,Phosphorous (P),VL,10,17,2019,"Financial Year (Apr - Mar), 2019"
1435,India,3,PUNJAB,2019-20,Cycle 3,Organic Carbon (OC),L,18,17,2019,"Financial Year (Apr - Mar), 2019"
1436,India,3,PUNJAB,2019-20,Cycle 3,Nitrogen (N),VL,25,17,2019,"Financial Year (Apr - Mar), 2019"
1437,India,3,PUNJAB,2019-20,Cycle 3,Potassium (K),M,35,17,2019,"Financial Year (Apr - Mar), 2019"
1438,India,3,PUNJAB,2019-20,Cycle 3,Potassium (K),H,44,17,2019,"Financial Year (Apr - Mar), 2019"
1439,India,3,PUNJAB,2019-20,Cycle 3,Phosphorous (P),M,61,17,2019,"Financial Year (Apr - Mar), 2019"
1440,India,3,PUNJAB,2019-20,Cycle 3,Organic Carbon (OC),M,65,17,2019,"Financial Year (Apr - Mar), 2019"
1441,India,10,BIHAR,2019-20,Cycle 3,Nitrogen (N),VH,20,45,2019,"Financial Year (Apr - Mar), 2019"
1442,India,10,BIHAR,2019-20,Cycle 3,Nitrogen (N),VL,39,45,2019,"Financial Year (Apr - Mar), 2019"
1443,India,10,BIHAR,2019-20,Cycle 3,Potassium (K),VH,40,45,2019,"Financial Year (Apr - Mar), 2019"
1444,India,10,BIHAR,2019-20,Cycle 3,Potassium (K),VL,44,45,2019,"Financial Year (Apr - Mar), 2019"
1445,India,10,BIHAR,2019-20,Cycle 3,Organic Carbon (OC),VH,78,45,2019,"Financial Year (Apr - Mar), 2019"
1446,India,10,BIHAR,2019-20,Cycle 3,Phosphorous (P),VL,84,45,2019,"Financial Year (Apr - Mar), 2019"
1447,India,10,BIHAR,2019-20,Cycle 3,Nitrogen (N),H,145,45,2019,"Financial Year (Apr - Mar), 2019"
1448,India,10,BIHAR,2019-20,Cycle 3,Organic Carbon (OC),VL,167,45,2019,"Financial Year (Apr - Mar), 2019"
1449,India,10,BIHAR,2019-20,Cycle 3,Phosphorous (P),VH,443,45,2019,"Financial Year (Apr - Mar), 2019"
1450,India,10,BIHAR,2019-20,Cycle 3,Potassium (K),H,457,45,2019,"Financial Year (Apr - Mar), 2019"
1451,India,10,BIHAR,2019-20,Cycle 3,Organic Carbon (OC),H,470,45,2019,"Financial Year (Apr - Mar), 2019"
1452,India,10,BIHAR,2019-20,Cycle 3,Phosphorous (P),L,480,45,2019,"Financial Year (Apr - Mar), 2019"
1453,India,10,BIHAR,2019-20,Cycle 3,Phosphorous (P),H,594,45,2019,"Financial Year (Apr - Mar), 2019"
1454,India,10,BIHAR,2019-20,Cycle 3,Potassium (K),L,741,45,2019,"Financial Year (Apr - Mar), 2019"
1455,India,10,BIHAR,2019-20,Cycle 3,Organic Carbon (OC),L,876,45,2019,"Financial Year (Apr - Mar), 2019"
1456,India,10,BIHAR,2019-20,Cycle 3,Nitrogen (N),L,994,45,2019,"Financial Year (Apr - Mar), 2019"
1457,India,10,BIHAR,2019-20,Cycle 3,Phosphorous (P),M,2190,45,2019,"Financial Year (Apr - Mar), 2019"
1458,India,10,BIHAR,2019-20,Cycle 3,Organic Carbon (OC),M,2200,45,2019,"Financial Year (Apr - Mar), 2019"
1459,India,10,BIHAR,2019-20,Cycle 3,Potassium (K),M,2508,45,2019,"Financial Year (Apr - Mar), 2019"
1460,India,10,BIHAR,2019-20,Cycle 3,Nitrogen (N),M,2592,45,2019,"Financial Year (Apr - Mar), 2019"
1461,India,18,ASSAM,2019-20,Cycle 3,Phosphorous (P),H,0,113,2019,"Financial Year (Apr - Mar), 2019"
1462,India,18,ASSAM,2019-20,Cycle 3,Potassium (K),H,0,113,2019,"Financial Year (Apr - Mar), 2019"
1463,India,18,ASSAM,2019-20,Cycle 3,Nitrogen (N),VH,0,113,2019,"Financial Year (Apr - Mar), 2019"
1464,India,18,ASSAM,2019-20,Cycle 3,Phosphorous (P),VH,0,113,2019,"Financial Year (Apr - Mar), 2019"
1465,India,18,ASSAM,2019-20,Cycle 3,Potassium (K),VH,0,113,2019,"Financial Year (Apr - Mar), 2019"
1466,India,18,ASSAM,2019-20,Cycle 3,Nitrogen (N),VL,0,113,2019,"Financial Year (Apr - Mar), 2019"
1467,India,18,ASSAM,2019-20,Cycle 3,Organic Carbon (OC),VL,4,113,2019,"Financial Year (Apr - Mar), 2019"
1468,India,18,ASSAM,2019-20,Cycle 3,Phosphorous (P),M,8,113,2019,"Financial Year (Apr - Mar), 2019"
1469,India,18,ASSAM,2019-20,Cycle 3,Phosphorous (P),L,9,113,2019,"Financial Year (Apr - Mar), 2019"
1470,India,18,ASSAM,2019-20,Cycle 3,Potassium (K),VL,12,113,2019,"Financial Year (Apr - Mar), 2019"
1471,India,18,ASSAM,2019-20,Cycle 3,Organic Carbon (OC),L,14,113,2019,"Financial Year (Apr - Mar), 2019"
1472,India,18,ASSAM,2019-20,Cycle 3,Nitrogen (N),L,18,113,2019,"Financial Year (Apr - Mar), 2019"
1473,India,18,ASSAM,2019-20,Cycle 3,Organic Carbon (OC),M,21,113,2019,"Financial Year (Apr - Mar), 2019"
1474,India,18,ASSAM,2019-20,Cycle 3,Organic Carbon (OC),H,28,113,2019,"Financial Year (Apr - Mar), 2019"
1475,India,18,ASSAM,2019-20,Cycle 3,Nitrogen (N),M,28,113,2019,"Financial Year (Apr - Mar), 2019"
1476,India,18,ASSAM,2019-20,Cycle 3,Potassium (K),M,32,113,2019,"Financial Year (Apr - Mar), 2019"
1477,India,18,ASSAM,2019-20,Cycle 3,Organic Carbon (OC),VH,42,113,2019,"Financial Year (Apr - Mar), 2019"
1478,India,18,ASSAM,2019-20,Cycle 3,Nitrogen (N),H,63,113,2019,"Financial Year (Apr - Mar), 2019"
1479,India,18,ASSAM,2019-20,Cycle 3,Potassium (K),L,65,113,2019,"Financial Year (Apr - Mar), 2019"
1480,India,18,ASSAM,2019-20,Cycle 3,Phosphorous (P),VL,92,113,2019,"Financial Year (Apr - Mar), 2019"
1481,India,14,MANIPUR,2019-20,Cycle 3,Nitrogen (N),H,0,247,2019,"Financial Year (Apr - Mar), 2019"
1482,India,14,MANIPUR,2019-20,Cycle 3,Phosphorous (P),H,0,247,2019,"Financial Year (Apr - Mar), 2019"
1483,India,14,MANIPUR,2019-20,Cycle 3,Potassium (K),H,0,247,2019,"Financial Year (Apr - Mar), 2019"
1484,India,14,MANIPUR,2019-20,Cycle 3,Nitrogen (N),VH,0,247,2019,"Financial Year (Apr - Mar), 2019"
1485,India,14,MANIPUR,2019-20,Cycle 3,Phosphorous (P),VH,0,247,2019,"Financial Year (Apr - Mar), 2019"
1486,India,14,MANIPUR,2019-20,Cycle 3,Potassium (K),VH,0,247,2019,"Financial Year (Apr - Mar), 2019"
1487,India,14,MANIPUR,2019-20,Cycle 3,Organic Carbon (OC),VL,1,247,2019,"Financial Year (Apr - Mar), 2019"
1488,India,14,MANIPUR,2019-20,Cycle 3,Phosphorous (P),VL,6,247,2019,"Financial Year (Apr - Mar), 2019"
1489,India,14,MANIPUR,2019-20,Cycle 3,Nitrogen (N),VL,7,247,2019,"Financial Year (Apr - Mar), 2019"
1490,India,14,MANIPUR,2019-20,Cycle 3,Potassium (K),VL,11,247,2019,"Financial Year (Apr - Mar), 2019"
1491,India,14,MANIPUR,2019-20,Cycle 3,Organic Carbon (OC),L,22,247,2019,"Financial Year (Apr - Mar), 2019"
1492,India,14,MANIPUR,2019-20,Cycle 3,Organic Carbon (OC),H,26,247,2019,"Financial Year (Apr - Mar), 2019"
1493,India,14,MANIPUR,2019-20,Cycle 3,Potassium (K),L,30,247,2019,"Financial Year (Apr - Mar), 2019"
1494,India,14,MANIPUR,2019-20,Cycle 3,Organic Carbon (OC),M,35,247,2019,"Financial Year (Apr - Mar), 2019"
1495,India,14,MANIPUR,2019-20,Cycle 3,Nitrogen (N),L,45,247,2019,"Financial Year (Apr - Mar), 2019"
1496,India,14,MANIPUR,2019-20,Cycle 3,Organic Carbon (OC),VH,57,247,2019,"Financial Year (Apr - Mar), 2019"
1497,India,14,MANIPUR,2019-20,Cycle 3,Phosphorous (P),L,61,247,2019,"Financial Year (Apr - Mar), 2019"
1498,India,14,MANIPUR,2019-20,Cycle 3,Phosphorous (P),M,74,247,2019,"Financial Year (Apr - Mar), 2019"
1499,India,14,MANIPUR,2019-20,Cycle 3,Nitrogen (N),M,88,247,2019,"Financial Year (Apr - Mar), 2019"
1500,India,14,MANIPUR,2019-20,Cycle 3,Potassium (K),M,100,247,2019,"Financial Year (Apr - Mar), 2019"
1501,India,24,GUJARAT,2019-20,Cycle 3,Nitrogen (N),H,0,257,2019,"Financial Year (Apr - Mar), 2019"
1502,India,24,GUJARAT,2019-20,Cycle 3,Nitrogen (N),VH,1,257,2019,"Financial Year (Apr - Mar), 2019"
1503,India,24,GUJARAT,2019-20,Cycle 3,Phosphorous (P),VL,1,257,2019,"Financial Year (Apr - Mar), 2019"
1504,India,24,GUJARAT,2019-20,Cycle 3,Potassium (K),VL,1,257,2019,"Financial Year (Apr - Mar), 2019"
1505,India,24,GUJARAT,2019-20,Cycle 3,Phosphorous (P),L,2,257,2019,"Financial Year (Apr - Mar), 2019"
1506,India,24,GUJARAT,2019-20,Cycle 3,Potassium (K),VH,3,257,2019,"Financial Year (Apr - Mar), 2019"
1507,India,24,GUJARAT,2019-20,Cycle 3,Phosphorous (P),VH,4,257,2019,"Financial Year (Apr - Mar), 2019"
1508,India,24,GUJARAT,2019-20,Cycle 3,Organic Carbon (OC),VH,7,257,2019,"Financial Year (Apr - Mar), 2019"
1509,India,24,GUJARAT,2019-20,Cycle 3,Organic Carbon (OC),H,11,257,2019,"Financial Year (Apr - Mar), 2019"
1510,India,24,GUJARAT,2019-20,Cycle 3,Potassium (K),H,18,257,2019,"Financial Year (Apr - Mar), 2019"
1511,India,24,GUJARAT,2019-20,Cycle 3,Nitrogen (N),VL,18,257,2019,"Financial Year (Apr - Mar), 2019"
1512,India,24,GUJARAT,2019-20,Cycle 3,Organic Carbon (OC),VL,18,257,2019,"Financial Year (Apr - Mar), 2019"
1513,India,24,GUJARAT,2019-20,Cycle 3,Phosphorous (P),H,20,257,2019,"Financial Year (Apr - Mar), 2019"
1514,India,24,GUJARAT,2019-20,Cycle 3,Organic Carbon (OC),M,20,257,2019,"Financial Year (Apr - Mar), 2019"
1515,India,24,GUJARAT,2019-20,Cycle 3,Potassium (K),L,28,257,2019,"Financial Year (Apr - Mar), 2019"
1516,India,24,GUJARAT,2019-20,Cycle 3,Nitrogen (N),M,36,257,2019,"Financial Year (Apr - Mar), 2019"
1517,India,24,GUJARAT,2019-20,Cycle 3,Organic Carbon (OC),L,40,257,2019,"Financial Year (Apr - Mar), 2019"
1518,India,24,GUJARAT,2019-20,Cycle 3,Nitrogen (N),L,41,257,2019,"Financial Year (Apr - Mar), 2019"
1519,India,24,GUJARAT,2019-20,Cycle 3,Potassium (K),M,46,257,2019,"Financial Year (Apr - Mar), 2019"
1520,India,24,GUJARAT,2019-20,Cycle 3,Phosphorous (P),M,69,257,2019,"Financial Year (Apr - Mar), 2019"
1521,India,5,UTTARAKHAND,2019-20,Cycle 3,Nitrogen (N),H,0,328,2019,"Financial Year (Apr - Mar), 2019"
1522,India,5,UTTARAKHAND,2019-20,Cycle 3,Nitrogen (N),VH,0,328,2019,"Financial Year (Apr - Mar), 2019"
1523,India,5,UTTARAKHAND,2019-20,Cycle 3,Nitrogen (N),L,1,328,2019,"Financial Year (Apr - Mar), 2019"
1524,India,5,UTTARAKHAND,2019-20,Cycle 3,Nitrogen (N),VL,1,328,2019,"Financial Year (Apr - Mar), 2019"
1525,India,5,UTTARAKHAND,2019-20,Cycle 3,Potassium (K),VL,2,328,2019,"Financial Year (Apr - Mar), 2019"
1526,India,5,UTTARAKHAND,2019-20,Cycle 3,Phosphorous (P),VL,4,328,2019,"Financial Year (Apr - Mar), 2019"
1527,India,5,UTTARAKHAND,2019-20,Cycle 3,Potassium (K),L,5,328,2019,"Financial Year (Apr - Mar), 2019"
1528,India,5,UTTARAKHAND,2019-20,Cycle 3,Organic Carbon (OC),M,9,328,2019,"Financial Year (Apr - Mar), 2019"
1529,India,5,UTTARAKHAND,2019-20,Cycle 3,Organic Carbon (OC),VL,9,328,2019,"Financial Year (Apr - Mar), 2019"
1530,India,5,UTTARAKHAND,2019-20,Cycle 3,Organic Carbon (OC),L,10,328,2019,"Financial Year (Apr - Mar), 2019"
1531,India,5,UTTARAKHAND,2019-20,Cycle 3,Phosphorous (P),H,11,328,2019,"Financial Year (Apr - Mar), 2019"
1532,India,5,UTTARAKHAND,2019-20,Cycle 3,Nitrogen (N),M,12,328,2019,"Financial Year (Apr - Mar), 2019"
1533,India,5,UTTARAKHAND,2019-20,Cycle 3,Phosphorous (P),VH,13,328,2019,"Financial Year (Apr - Mar), 2019"
1534,India,5,UTTARAKHAND,2019-20,Cycle 3,Potassium (K),VH,19,328,2019,"Financial Year (Apr - Mar), 2019"
1535,India,5,UTTARAKHAND,2019-20,Cycle 3,Organic Carbon (OC),H,24,328,2019,"Financial Year (Apr - Mar), 2019"
1536,India,5,UTTARAKHAND,2019-20,Cycle 3,Phosphorous (P),L,27,328,2019,"Financial Year (Apr - Mar), 2019"
1537,India,5,UTTARAKHAND,2019-20,Cycle 3,Potassium (K),M,84,328,2019,"Financial Year (Apr - Mar), 2019"
1538,India,5,UTTARAKHAND,2019-20,Cycle 3,Potassium (K),H,130,328,2019,"Financial Year (Apr - Mar), 2019"
1539,India,5,UTTARAKHAND,2019-20,Cycle 3,Phosphorous (P),M,185,328,2019,"Financial Year (Apr - Mar), 2019"
1540,India,5,UTTARAKHAND,2019-20,Cycle 3,Organic Carbon (OC),VH,188,328,2019,"Financial Year (Apr - Mar), 2019"
1541,India,34,PUDUCHERRY,2019-20,Cycle 3,Nitrogen (N),H,0,642,2019,"Financial Year (Apr - Mar), 2019"
1542,India,34,PUDUCHERRY,2019-20,Cycle 3,Organic Carbon (OC),H,0,642,2019,"Financial Year (Apr - Mar), 2019"
1543,India,34,PUDUCHERRY,2019-20,Cycle 3,Organic Carbon (OC),L,0,642,2019,"Financial Year (Apr - Mar), 2019"
1544,India,34,PUDUCHERRY,2019-20,Cycle 3,Nitrogen (N),M,0,642,2019,"Financial Year (Apr - Mar), 2019"
1545,India,34,PUDUCHERRY,2019-20,Cycle 3,Organic Carbon (OC),M,0,642,2019,"Financial Year (Apr - Mar), 2019"
1546,India,34,PUDUCHERRY,2019-20,Cycle 3,Nitrogen (N),VH,0,642,2019,"Financial Year (Apr - Mar), 2019"
1547,India,34,PUDUCHERRY,2019-20,Cycle 3,Organic Carbon (OC),VL,0,642,2019,"Financial Year (Apr - Mar), 2019"
1548,India,34,PUDUCHERRY,2019-20,Cycle 3,Organic Carbon (OC),VH,1,642,2019,"Financial Year (Apr - Mar), 2019"
1549,India,34,PUDUCHERRY,2019-20,Cycle 3,Potassium (K),VL,9,642,2019,"Financial Year (Apr - Mar), 2019"
1550,India,34,PUDUCHERRY,2019-20,Cycle 3,Phosphorous (P),VH,13,642,2019,"Financial Year (Apr - Mar), 2019"
1551,India,34,PUDUCHERRY,2019-20,Cycle 3,Phosphorous (P),H,35,642,2019,"Financial Year (Apr - Mar), 2019"
1552,India,34,PUDUCHERRY,2019-20,Cycle 3,Phosphorous (P),L,41,642,2019,"Financial Year (Apr - Mar), 2019"
1553,India,34,PUDUCHERRY,2019-20,Cycle 3,Potassium (K),VH,58,642,2019,"Financial Year (Apr - Mar), 2019"
1554,India,34,PUDUCHERRY,2019-20,Cycle 3,Potassium (K),L,60,642,2019,"Financial Year (Apr - Mar), 2019"
1555,India,34,PUDUCHERRY,2019-20,Cycle 3,Nitrogen (N),L,107,642,2019,"Financial Year (Apr - Mar), 2019"
1556,India,34,PUDUCHERRY,2019-20,Cycle 3,Phosphorous (P),M,135,642,2019,"Financial Year (Apr - Mar), 2019"
1557,India,34,PUDUCHERRY,2019-20,Cycle 3,Potassium (K),H,237,642,2019,"Financial Year (Apr - Mar), 2019"
1558,India,34,PUDUCHERRY,2019-20,Cycle 3,Potassium (K),M,237,642,2019,"Financial Year (Apr - Mar), 2019"
1559,India,34,PUDUCHERRY,2019-20,Cycle 3,Phosphorous (P),VL,377,642,2019,"Financial Year (Apr - Mar), 2019"
1560,India,34,PUDUCHERRY,2019-20,Cycle 3,Nitrogen (N),VL,494,642,2019,"Financial Year (Apr - Mar), 2019"
1561,India,36,TELANGANA,2019-20,Cycle 3,Nitrogen (N),H,0,959,2019,"Financial Year (Apr - Mar), 2019"
1562,India,36,TELANGANA,2019-20,Cycle 3,Nitrogen (N),VH,0,959,2019,"Financial Year (Apr - Mar), 2019"
1563,India,36,TELANGANA,2019-20,Cycle 3,Organic Carbon (OC),VH,3,959,2019,"Financial Year (Apr - Mar), 2019"
1564,India,36,TELANGANA,2019-20,Cycle 3,Organic Carbon (OC),VL,6,959,2019,"Financial Year (Apr - Mar), 2019"
1565,India,36,TELANGANA,2019-20,Cycle 3,Phosphorous (P),VH,13,959,2019,"Financial Year (Apr - Mar), 2019"
1566,India,36,TELANGANA,2019-20,Cycle 3,Phosphorous (P),H,43,959,2019,"Financial Year (Apr - Mar), 2019"
1567,India,36,TELANGANA,2019-20,Cycle 3,Potassium (K),L,44,959,2019,"Financial Year (Apr - Mar), 2019"
1568,India,36,TELANGANA,2019-20,Cycle 3,Nitrogen (N),M,59,959,2019,"Financial Year (Apr - Mar), 2019"
1569,India,36,TELANGANA,2019-20,Cycle 3,Potassium (K),VL,61,959,2019,"Financial Year (Apr - Mar), 2019"
1570,India,36,TELANGANA,2019-20,Cycle 3,Organic Carbon (OC),H,69,959,2019,"Financial Year (Apr - Mar), 2019"
1571,India,36,TELANGANA,2019-20,Cycle 3,Potassium (K),H,75,959,2019,"Financial Year (Apr - Mar), 2019"
1572,India,36,TELANGANA,2019-20,Cycle 3,Phosphorous (P),VL,166,959,2019,"Financial Year (Apr - Mar), 2019"
1573,India,36,TELANGANA,2019-20,Cycle 3,Phosphorous (P),L,174,959,2019,"Financial Year (Apr - Mar), 2019"
1574,India,36,TELANGANA,2019-20,Cycle 3,Organic Carbon (OC),L,369,959,2019,"Financial Year (Apr - Mar), 2019"
1575,India,36,TELANGANA,2019-20,Cycle 3,Potassium (K),VH,399,959,2019,"Financial Year (Apr - Mar), 2019"
1576,India,36,TELANGANA,2019-20,Cycle 3,Nitrogen (N),L,410,959,2019,"Financial Year (Apr - Mar), 2019"
1577,India,36,TELANGANA,2019-20,Cycle 3,Potassium (K),M,415,959,2019,"Financial Year (Apr - Mar), 2019"
1578,India,36,TELANGANA,2019-20,Cycle 3,Nitrogen (N),VL,525,959,2019,"Financial Year (Apr - Mar), 2019"
1579,India,36,TELANGANA,2019-20,Cycle 3,Organic Carbon (OC),M,547,959,2019,"Financial Year (Apr - Mar), 2019"
1580,India,36,TELANGANA,2019-20,Cycle 3,Phosphorous (P),M,598,959,2019,"Financial Year (Apr - Mar), 2019"
1581,India,11,SIKKIM,2019-20,Cycle 3,Nitrogen (N),H,0,1394,2019,"Financial Year (Apr - Mar), 2019"
1582,India,11,SIKKIM,2019-20,Cycle 3,Nitrogen (N),VH,0,1394,2019,"Financial Year (Apr - Mar), 2019"
1583,India,11,SIKKIM,2019-20,Cycle 3,Organic Carbon (OC),VL,0,1394,2019,"Financial Year (Apr - Mar), 2019"
1584,India,11,SIKKIM,2019-20,Cycle 3,Potassium (K),VH,2,1394,2019,"Financial Year (Apr - Mar), 2019"
1585,India,11,SIKKIM,2019-20,Cycle 3,Nitrogen (N),VL,6,1394,2019,"Financial Year (Apr - Mar), 2019"
1586,India,11,SIKKIM,2019-20,Cycle 3,Phosphorous (P),VH,11,1394,2019,"Financial Year (Apr - Mar), 2019"
1587,India,11,SIKKIM,2019-20,Cycle 3,Organic Carbon (OC),H,17,1394,2019,"Financial Year (Apr - Mar), 2019"
1588,India,11,SIKKIM,2019-20,Cycle 3,Phosphorous (P),VL,20,1394,2019,"Financial Year (Apr - Mar), 2019"
1589,India,11,SIKKIM,2019-20,Cycle 3,Organic Carbon (OC),L,29,1394,2019,"Financial Year (Apr - Mar), 2019"
1590,India,11,SIKKIM,2019-20,Cycle 3,Organic Carbon (OC),M,42,1394,2019,"Financial Year (Apr - Mar), 2019"
1591,India,11,SIKKIM,2019-20,Cycle 3,Potassium (K),L,44,1394,2019,"Financial Year (Apr - Mar), 2019"
1592,India,11,SIKKIM,2019-20,Cycle 3,Potassium (K),VL,46,1394,2019,"Financial Year (Apr - Mar), 2019"
1593,India,11,SIKKIM,2019-20,Cycle 3,Phosphorous (P),H,86,1394,2019,"Financial Year (Apr - Mar), 2019"
1594,India,11,SIKKIM,2019-20,Cycle 3,Nitrogen (N),M,107,1394,2019,"Financial Year (Apr - Mar), 2019"
1595,India,11,SIKKIM,2019-20,Cycle 3,Phosphorous (P),L,131,1394,2019,"Financial Year (Apr - Mar), 2019"
1596,India,11,SIKKIM,2019-20,Cycle 3,Potassium (K),H,172,1394,2019,"Financial Year (Apr - Mar), 2019"
1597,India,11,SIKKIM,2019-20,Cycle 3,Potassium (K),M,315,1394,2019,"Financial Year (Apr - Mar), 2019"
1598,India,11,SIKKIM,2019-20,Cycle 3,Phosphorous (P),M,331,1394,2019,"Financial Year (Apr - Mar), 2019"
1599,India,11,SIKKIM,2019-20,Cycle 3,Nitrogen (N),L,466,1394,2019,"Financial Year (Apr - Mar), 2019"
1600,India,11,SIKKIM,2019-20,Cycle 3,Organic Carbon (OC),VH,491,1394,2019,"Financial Year (Apr - Mar), 2019"
1601,India,13,NAGALAND,2019-20,Cycle 3,Nitrogen (N),VH,0,2212,2019,"Financial Year (Apr - Mar), 2019"
1602,India,13,NAGALAND,2019-20,Cycle 3,Potassium (K),VH,0,2212,2019,"Financial Year (Apr - Mar), 2019"
1603,India,13,NAGALAND,2019-20,Cycle 3,Nitrogen (N),VL,0,2212,2019,"Financial Year (Apr - Mar), 2019"
1604,India,13,NAGALAND,2019-20,Cycle 3,Organic Carbon (OC),VL,2,2212,2019,"Financial Year (Apr - Mar), 2019"
1605,India,13,NAGALAND,2019-20,Cycle 3,Phosphorous (P),L,3,2212,2019,"Financial Year (Apr - Mar), 2019"
1606,India,13,NAGALAND,2019-20,Cycle 3,Organic Carbon (OC),L,7,2212,2019,"Financial Year (Apr - Mar), 2019"
1607,India,13,NAGALAND,2019-20,Cycle 3,Phosphorous (P),M,7,2212,2019,"Financial Year (Apr - Mar), 2019"
1608,India,13,NAGALAND,2019-20,Cycle 3,Organic Carbon (OC),M,9,2212,2019,"Financial Year (Apr - Mar), 2019"
1609,India,13,NAGALAND,2019-20,Cycle 3,Potassium (K),VL,11,2212,2019,"Financial Year (Apr - Mar), 2019"
1610,India,13,NAGALAND,2019-20,Cycle 3,Potassium (K),H,12,2212,2019,"Financial Year (Apr - Mar), 2019"
1611,India,13,NAGALAND,2019-20,Cycle 3,Nitrogen (N),L,12,2212,2019,"Financial Year (Apr - Mar), 2019"
1612,India,13,NAGALAND,2019-20,Cycle 3,Phosphorous (P),VH,14,2212,2019,"Financial Year (Apr - Mar), 2019"
1613,India,13,NAGALAND,2019-20,Cycle 3,Phosphorous (P),H,15,2212,2019,"Financial Year (Apr - Mar), 2019"
1614,India,13,NAGALAND,2019-20,Cycle 3,Organic Carbon (OC),H,16,2212,2019,"Financial Year (Apr - Mar), 2019"
1615,India,13,NAGALAND,2019-20,Cycle 3,Potassium (K),L,19,2212,2019,"Financial Year (Apr - Mar), 2019"
1616,India,13,NAGALAND,2019-20,Cycle 3,Nitrogen (N),H,22,2212,2019,"Financial Year (Apr - Mar), 2019"
1617,India,13,NAGALAND,2019-20,Cycle 3,Potassium (K),M,26,2212,2019,"Financial Year (Apr - Mar), 2019"
1618,India,13,NAGALAND,2019-20,Cycle 3,Phosphorous (P),VL,29,2212,2019,"Financial Year (Apr - Mar), 2019"
1619,India,13,NAGALAND,2019-20,Cycle 3,Nitrogen (N),M,34,2212,2019,"Financial Year (Apr - Mar), 2019"
1620,India,13,NAGALAND,2019-20,Cycle 3,Organic Carbon (OC),VH,34,2212,2019,"Financial Year (Apr - Mar), 2019"
1621,India,9,UTTAR PRADESH,2019-20,Cycle 3,Nitrogen (N),H,1,2808,2019,"Financial Year (Apr - Mar), 2019"
1622,India,9,UTTAR PRADESH,2019-20,Cycle 3,Nitrogen (N),VH,1,2808,2019,"Financial Year (Apr - Mar), 2019"
1623,India,9,UTTAR PRADESH,2019-20,Cycle 3,Potassium (K),VH,6,2808,2019,"Financial Year (Apr - Mar), 2019"
1624,India,9,UTTAR PRADESH,2019-20,Cycle 3,Organic Carbon (OC),VH,46,2808,2019,"Financial Year (Apr - Mar), 2019"
1625,India,9,UTTAR PRADESH,2019-20,Cycle 3,Phosphorous (P),H,65,2808,2019,"Financial Year (Apr - Mar), 2019"
1626,India,9,UTTAR PRADESH,2019-20,Cycle 3,Potassium (K),VL,94,2808,2019,"Financial Year (Apr - Mar), 2019"
1627,India,9,UTTAR PRADESH,2019-20,Cycle 3,Phosphorous (P),VH,122,2808,2019,"Financial Year (Apr - Mar), 2019"
1628,India,9,UTTAR PRADESH,2019-20,Cycle 3,Nitrogen (N),M,265,2808,2019,"Financial Year (Apr - Mar), 2019"
1629,India,9,UTTAR PRADESH,2019-20,Cycle 3,Potassium (K),H,384,2808,2019,"Financial Year (Apr - Mar), 2019"
1630,India,9,UTTAR PRADESH,2019-20,Cycle 3,Organic Carbon (OC),H,434,2808,2019,"Financial Year (Apr - Mar), 2019"
1631,India,9,UTTAR PRADESH,2019-20,Cycle 3,Phosphorous (P),M,740,2808,2019,"Financial Year (Apr - Mar), 2019"
1632,India,9,UTTAR PRADESH,2019-20,Cycle 3,Organic Carbon (OC),M,960,2808,2019,"Financial Year (Apr - Mar), 2019"
1633,India,9,UTTAR PRADESH,2019-20,Cycle 3,Potassium (K),L,965,2808,2019,"Financial Year (Apr - Mar), 2019"
1634,India,9,UTTAR PRADESH,2019-20,Cycle 3,Organic Carbon (OC),VL,1048,2808,2019,"Financial Year (Apr - Mar), 2019"
1635,India,9,UTTAR PRADESH,2019-20,Cycle 3,Nitrogen (N),L,1154,2808,2019,"Financial Year (Apr - Mar), 2019"
1636,India,9,UTTAR PRADESH,2019-20,Cycle 3,Phosphorous (P),VL,1933,2808,2019,"Financial Year (Apr - Mar), 2019"
1637,India,9,UTTAR PRADESH,2019-20,Cycle 3,Phosphorous (P),L,2865,2808,2019,"Financial Year (Apr - Mar), 2019"
1638,India,9,UTTAR PRADESH,2019-20,Cycle 3,Organic Carbon (OC),L,3245,2808,2019,"Financial Year (Apr - Mar), 2019"
1639,India,9,UTTAR PRADESH,2019-20,Cycle 3,Potassium (K),M,4272,2808,2019,"Financial Year (Apr - Mar), 2019"
1640,India,9,UTTAR PRADESH,2019-20,Cycle 3,Nitrogen (N),VL,4308,2808,2019,"Financial Year (Apr - Mar), 2019"
